Category: All categories

Week,spotify: (Netherlands)
2017-02-19,35
2017-02-26,32
2017-03-05,34
2017-03-12,40
2017-03-19,45
2017-03-26,37
2017-04-02,36
2017-04-09,35
2017-04-16,39
2017-04-23,35
2017-04-30,36
2017-05-07,33
2017-05-14,36
2017-05-21,34
2017-05-28,34
2017-06-04,34
2017-06-11,33
2017-06-18,33
2017-06-25,35
2017-07-02,38
2017-07-09,35
2017-07-16,34
2017-07-23,34
2017-07-30,35
2017-08-06,34
2017-08-13,35
2017-08-20,33
2017-08-27,35
2017-09-03,39
2017-09-10,39
2017-09-17,41
2017-09-24,41
2017-10-01,36
2017-10-08,37
2017-10-15,36
2017-10-22,38
2017-10-29,39
2017-11-05,36
2017-11-12,40
2017-11-19,41
2017-11-26,44
2017-12-03,63
2017-12-10,40
2017-12-17,42
2017-12-24,43
2017-12-31,38
2018-01-07,36
2018-01-14,36
2018-01-21,38
2018-01-28,37
2018-02-04,34
2018-02-11,35
2018-02-18,38
2018-02-25,33
2018-03-04,41
2018-03-11,38
2018-03-18,36
2018-03-25,37
2018-04-01,40
2018-04-08,36
2018-04-15,33
2018-04-22,34
2018-04-29,32
2018-05-06,32
2018-05-13,36
2018-05-20,33
2018-05-27,33
2018-06-03,38
2018-06-10,35
2018-06-17,36
2018-06-24,36
2018-07-01,34
2018-07-08,35
2018-07-15,36
2018-07-22,34
2018-07-29,34
2018-08-05,33
2018-08-12,33
2018-08-19,35
2018-08-26,37
2018-09-02,38
2018-09-09,40
2018-09-16,38
2018-09-23,39
2018-09-30,38
2018-10-07,35
2018-10-14,35
2018-10-21,32
2018-10-28,35
2018-11-04,36
2018-11-11,32
2018-11-18,36
2018-11-25,39
2018-12-02,100
2018-12-09,47
2018-12-16,40
2018-12-23,42
2018-12-30,33
2019-01-06,36
2019-01-13,37
2019-01-20,32
2019-01-27,32
2019-02-03,36
2019-02-10,38
2019-02-17,35
2019-02-24,30
2019-03-03,33
2019-03-10,35
2019-03-17,31
2019-03-24,31
2019-03-31,33
2019-04-07,31
2019-04-14,31
2019-04-21,30
2019-04-28,31
2019-05-05,31
2019-05-12,33
2019-05-19,32
2019-05-26,35
2019-06-02,35
2019-06-09,32
2019-06-16,35
2019-06-23,32
2019-06-30,33
2019-07-07,35
2019-07-14,34
2019-07-21,30
2019-07-28,32
2019-08-04,33
2019-08-11,36
2019-08-18,36
2019-08-25,34
2019-09-01,39
2019-09-08,40
2019-09-15,38
2019-09-22,36
2019-09-29,39
2019-10-06,36
2019-10-13,35
2019-10-20,34
2019-10-27,36
2019-11-03,35
2019-11-10,36
2019-11-17,38
2019-11-24,39
2019-12-01,87
2019-12-08,48
2019-12-15,39
2019-12-22,43
2019-12-29,36
2020-01-05,38
2020-01-12,44
2020-01-19,39
2020-01-26,36
2020-02-02,37
2020-02-09,37
2020-02-16,35
2020-02-23,34
2020-03-01,37
2020-03-08,34
2020-03-15,36
2020-03-22,40
2020-03-29,39
2020-04-05,36
2020-04-12,39
2020-04-19,37
2020-04-26,35
2020-05-03,36
2020-05-10,38
2020-05-17,37
2020-05-24,35
2020-05-31,33
2020-06-07,34
2020-06-14,35
2020-06-21,33
2020-06-28,35
2020-07-05,54
2020-07-12,36
2020-07-19,35
2020-07-26,34
2020-08-02,32
2020-08-09,28
2020-08-16,35
2020-08-23,37
2020-08-30,39
2020-09-06,35
2020-09-13,37
2020-09-20,41
2020-09-27,37
2020-10-04,34
2020-10-11,34
2020-10-18,35
2020-10-25,38
2020-11-01,36
2020-11-08,36
2020-11-15,35
2020-11-22,39
2020-11-29,82
2020-12-06,41
2020-12-13,42
2020-12-20,43
2020-12-27,39
2021-01-03,36
2021-01-10,37
2021-01-17,35
2021-01-24,34
2021-01-31,36
2021-02-07,33
2021-02-14,34
2021-02-21,36
2021-02-28,32
2021-03-07,33
2021-03-14,32
2021-03-21,32
2021-03-28,29
2021-04-04,32
2021-04-11,35
2021-04-18,32
2021-04-25,30
2021-05-02,29
2021-05-09,28
2021-05-16,32
2021-05-23,33
2021-05-30,36
2021-06-06,29
2021-06-13,28
2021-06-20,28
2021-06-27,28
2021-07-04,28
2021-07-11,29
2021-07-18,29
2021-07-25,30
2021-08-01,27
2021-08-08,31
2021-08-15,30
2021-08-22,32
2021-08-29,35
2021-09-05,33
2021-09-12,37
2021-09-19,35
2021-09-26,33
2021-10-03,32
2021-10-10,30
2021-10-17,37
2021-10-24,32
2021-10-31,32
2021-11-07,36
2021-11-14,48
2021-11-21,42
2021-11-28,76
2021-12-05,43
2021-12-12,38
2021-12-19,37
2021-12-26,38
2022-01-02,36
2022-01-09,38
2022-01-16,35
2022-01-23,40
2022-01-30,41
2022-02-06,38
2022-02-13,36
