,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,name,artists,popularity,explicit,album_type,release_date,artist_genres,dutch,rap,pop,rock,r&b,hip hop,dance
0,0.908,0.52,0,-7.688,0,0.0782,0.0457,0.0,0.109,0.81,134.046,4,173534,Amsterdam,"['Cristian D', '$hirak', 'Brysa', 'Ashafar']",79,True,single,2022-01-13,"['dutch rap pop', 'dutch hip hop']",1,1,1,0,0,1,0
1,0.69,0.274,0,-12.923,1,0.051,0.845,0.000428,0.12,0.663,131.704,4,211174,Dat heb jij gedaan,['MEAU'],80,False,single,2021-09-10,['dutch pop'],1,0,1,0,0,0,0
2,0.73,0.771,6,-6.973,0,0.0534,0.0321,0.0,0.127,0.689,159.979,4,148468,Vluchtstrook,"['Kris Kross Amsterdam', 'Antoon', 'Sigourney K']",79,False,single,2021-11-26,"['dutch rap pop', 'dutch pop', 'dutch r&b', 'dutch house']",1,1,1,0,1,0,0
3,0.917,0.487,1,-6.093,1,0.292,0.0284,2.18e-06,0.102,0.38,125.026,4,144996,Jongens Van Plein,"['Lil Kleine', 'JoeyAK']",74,True,album,2022-01-27,"['dutch rap pop', 'dutch hip hop', 'dutch pop']",1,1,1,0,0,1,0
4,0.648,0.637,10,-8.531,0,0.0584,0.287,0.0,0.263,0.736,170.124,4,172235,Amsterdam,['FLEMMING'],60,False,single,2021-10-22,['dutch pop'],1,0,1,0,0,0,0
5,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,4,164819,The Motto,"['Tiësto', 'Ava Max']",93,False,single,2021-11-04,"['house', 'pop', 'tropical house', 'slap house', 'pop dance', 'dance pop', 'big room', 'brostep', 'edm', 'trance', 'dutch edm']",1,0,1,0,0,0,1
6,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,4,173381,Enemy (with JID) - from the series Arcane League of Legends,"['Imagine Dragons', 'JID', 'Arcane', 'League of Legends']",78,False,album,2021-09-03,"['rock', 'rap', 'video game music', 'hip hop', 'speedrun', 'modern rock']",0,1,0,1,0,1,0
7,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4,168602,abcdefu,['GAYLE'],100,True,single,2021-08-13,['modern alternative pop'],0,0,1,0,0,0,0
8,0.637,0.525,11,-6.432,0,0.463,0.0579,0.0,0.0759,0.233,98.053,4,179979,Honderd Ruggen,['Lil Kleine'],72,False,album,2022-01-27,"['dutch rap pop', 'dutch hip hop', 'dutch pop']",1,1,1,0,0,1,0
9,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,238805,Heat Waves,['Glass Animals'],94,False,album,2020-08-06,"['gauze pop', 'indietronica', 'shiver pop']",0,0,1,0,0,0,0
